[2022-05-20 02:09:28,204] {taskinstance.py:1043} INFO - Dependencies all met for <TaskInstance: ETL.poblar_tablas.poblar_employee manual__2022-05-20T02:09:19.657101+00:00 [queued]>
[2022-05-20 02:09:28,223] {taskinstance.py:1043} INFO - Dependencies all met for <TaskInstance: ETL.poblar_tablas.poblar_employee manual__2022-05-20T02:09:19.657101+00:00 [queued]>
[2022-05-20 02:09:28,226] {taskinstance.py:1249} INFO - 
--------------------------------------------------------------------------------
[2022-05-20 02:09:28,249] {taskinstance.py:1250} INFO - Starting attempt 1 of 1
[2022-05-20 02:09:28,252] {taskinstance.py:1251} INFO - 
--------------------------------------------------------------------------------
[2022-05-20 02:09:28,310] {taskinstance.py:1270} INFO - Executing <Task(PostgresOperator): poblar_tablas.poblar_employee> on 2022-05-20 02:09:19.657101+00:00
[2022-05-20 02:09:28,318] {standard_task_runner.py:52} INFO - Started process 6587 to run task
[2022-05-20 02:09:28,337] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'ETL', 'poblar_tablas.poblar_employee', 'manual__2022-05-20T02:09:19.657101+00:00', '--job-id', '105', '--raw', '--subdir', 'DAGS_FOLDER/ELT.py', '--cfg-path', '/tmp/tmplu3nsw8j', '--error-file', '/tmp/tmpwataa4cx']
[2022-05-20 02:09:28,350] {standard_task_runner.py:80} INFO - Job 105: Subtask poblar_tablas.poblar_employee
[2022-05-20 02:09:28,563] {logging_mixin.py:109} INFO - Running <TaskInstance: ETL.poblar_tablas.poblar_employee manual__2022-05-20T02:09:19.657101+00:00 [running]> on host 8bedc7a6d586
[2022-05-20 02:09:28,708] {taskinstance.py:1448} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_EMAIL=estudiante@uniandes.edu.co
AIRFLOW_CTX_DAG_OWNER=Estudiante
AIRFLOW_CTX_DAG_ID=ETL
AIRFLOW_CTX_TASK_ID=poblar_tablas.poblar_employee
AIRFLOW_CTX_EXECUTION_DATE=2022-05-20T02:09:19.657101+00:00
AIRFLOW_CTX_DAG_RUN_ID=manual__2022-05-20T02:09:19.657101+00:00
[2022-05-20 02:09:28,730] {base.py:79} INFO - Using connection to: id: postgres_localhost. Host: host.docker.internal, Port: 5432, Schema: WWWIDWGrupo8, Login: Grupo8BI, Password: ***, extra: {}
[2022-05-20 02:09:29,095] {dbapi.py:225} INFO - Running statement: INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (2.0,'Isabella Rupp','Isabella',False);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (3.0,'Ethan Onslow','Ethan',False);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (4.0,'Amy Trefl','Amy',True);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (5.0,'Jai Shand','Jai',False);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (6.0,'Anthony Grosse','Anthony',True);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (7.0,'Taj Shand','Taj',True);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (8.0,'Hudson Hollinworth','Hudson',True);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (9.0,'Jack Potter','Jack',True);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (10.0,'Piper Koch','Piper',False);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (11.0,'Hudson Onslow','Hudson',True);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (12.0,'Sophia Hinton','Sophia',True);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (13.0,'Henry Forlonge','Henry',False);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (14.0,'Stella Rosenhain','Stella',False);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (15.0,'Kayla Woodcock','Kayla',True);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (16.0,'Katie Darwin','Katie',False);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (17.0,'Alica Fatnowna','Alica',False);
INSERT INTO employee (Employee_Key,Employee,Preferred_Name,Is_Salesperson) VALUES (18.0,'Eva Muirden','Eva',False);
